adopter_id,house_type,family_composition,lifestyle,pet_experience,dog_id,dog_age,dog_size,dog_behavior,health_condition,match_category
Adopter 1,Medium,With Kids,Sedentary,Yes,44,2,Small,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,45,1,Medium,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,46,3,Medium,Aggressive,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,47,1,Large,Calm,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,48,1,Large,Energetic,Healthy,Bad Match
Adopter 1,Medium,With Kids,Sedentary,Yes,49,4,Small,Calm,Healthy,Good Match
Adopter 1,Medium,With Kids,Sedentary,Yes,50,7,Medium,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,1,2,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,2,5,Small,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,3,3,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,5,4,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,6,3,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,10,7,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,12,2,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,14,3,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,15,6,Medium,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,20,2,Medium,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,25,1,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,29,1,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,30,7,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,32,4,Small,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,33,1,Medium,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,34,3,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,39,2,Small,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,41,1,Medium,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,43,2,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,44,2,Small,Energetic,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,45,1,Medium,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,46,3,Medium,Aggressive,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,47,1,Large,Calm,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,48,1,Large,Energetic,Healthy,Bad Match
Adopter 2,Medium,With Kids,Active,Yes,49,4,Small,Calm,Healthy,Good Match
Adopter 2,Medium,With Kids,Active,Yes,50,7,Medium,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,1,2,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,2,5,Small,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,3,3,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,5,4,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,6,3,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,10,7,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,12,2,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,14,3,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,15,6,Medium,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,20,2,Medium,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,25,1,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,29,1,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,30,7,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,32,4,Small,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,33,1,Medium,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,34,3,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,39,2,Small,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,41,1,Medium,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,43,2,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,44,2,Small,Energetic,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,45,1,Medium,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,46,3,Medium,Aggressive,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,47,1,Large,Calm,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,48,1,Large,Energetic,Healthy,Bad Match
Adopter 3,Medium,No Kids,Active,Yes,49,4,Small,Calm,Healthy,Good Match
Adopter 3,Medium,No Kids,Active,Yes,50,7,Medium,Aggressive,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,1,2,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,2,5,Small,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,3,3,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,5,4,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,6,3,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,10,7,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,12,2,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,14,3,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,15,6,Medium,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,20,2,Medium,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,25,1,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,29,1,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,30,7,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,32,4,Small,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,33,1,Medium,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,34,3,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,39,2,Small,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,41,1,Medium,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,43,2,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,44,2,Small,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,45,1,Medium,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,46,3,Medium,Aggressive,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,47,1,Large,Calm,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,48,1,Large,Energetic,Healthy,Bad Match
Adopter 4,Small,With Kids,Sedentary,Yes,49,4,Small,Calm,Healthy,Good Match
Adopter 4,Small,With Kids,Sedentary,Yes,50,7,Medium,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,1,2,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,2,5,Small,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,3,3,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,5,4,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,6,3,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,10,7,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,12,2,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,14,3,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,15,6,Medium,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,20,2,Medium,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,25,1,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,29,1,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,30,7,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,32,4,Small,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,33,1,Medium,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,34,3,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,39,2,Small,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,41,1,Medium,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,43,2,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,44,2,Small,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,45,1,Medium,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,46,3,Medium,Aggressive,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,47,1,Large,Calm,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,48,1,Large,Energetic,Healthy,Bad Match
Adopter 5,Medium,No Kids,Sedentary,Yes,49,4,Small,Calm,Healthy,Good Match
Adopter 5,Medium,No Kids,Sedentary,Yes,50,7,Medium,Aggressive,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,1,2,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,2,5,Small,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,3,3,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,4,1,Large,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,5,4,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,6,3,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,7,1,Large,Calm,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,8,6,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,9,3,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,10,7,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,11,4,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,12,2,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,13,1,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,14,3,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,15,6,Medium,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,16,6,Small,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,17,1,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,18,3,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,19,1,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,20,2,Medium,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,21,2,Small,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,22,5,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,23,6,Large,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,24,1,Small,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,25,1,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,26,1,Small,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,27,3,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,28,1,Large,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,29,1,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,30,7,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,31,3,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,32,4,Small,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,33,1,Medium,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,34,3,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,35,5,Large,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,36,6,Large,Calm,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,37,2,Large,Energetic,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,38,1,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,39,2,Small,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,40,1,Large,Calm,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,41,1,Medium,Energetic,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,42,1,Large,Aggressive,Healthy,Bad Match
Adopter 6,Small,With Kids,Active,Yes,43,2,Medium,Calm,Healthy,Good Match
Adopter 6,Small,With Kids,Active,Yes,44,2,Small,Energetic,Healthy,Good Match
